AAE15AU002,11,4,1
AAE15AU003,11,4,1
AAE15AU004,11,4,1
AAE15AU005,11,4,1
AAE15AU006,11,4,1
AAE15AU007,11,4,1
AAE15AU009,11,4,1
AAE15AU010,11,4,1
AAE15AU012,11,4,1
AAE15CE001,8,4,1
AAE15CE003,8,4,1
AAE15CE005,8,4,1
AAE15CE006,8,4,1
AAE15CE011,8,4,1
AAE15CE013,8,4,1
AAE15CE014,8,4,1
AAE15CE015,8,4,1
AAE15CE016,8,4,1
AAE15CE017,8,4,1
AAE15CE018,8,4,1
AAE15CE025,8,4,1
AAE15CE026,8,4,1
AAE15CE027,8,4,1
AAE15CE028,8,4,1
AAE15CE029,8,4,1
AAE15CE030,8,4,1
AAE15CE031,8,4,1
AAE15CE035,8,4,1
AAE15CS001,9,4,1
AAE15CS007,9,4,1
AAE15EC001,11,4,1
AAE15EC002,11,4,1
AAE15EC003,11,4,1
AAE15ME003,16,4,1
AAE15ME004,16,4,1
AAE15ME005,16,4,1
AAE15ME007,16,4,1
AAE15ME008,16,4,1
AAE15ME012,16,4,1
AAE15ME014,16,4,1
AAE15ME015,16,4,1
AAE15ME019,16,4,1
AAE15ME020,16,4,1
AAE15ME021,16,4,1
AAE15ME023,16,4,1
AAE15ME025,16,4,1
AAP15CE001,8,5,1
AAP15CE002,8,5,1
AAP15CE003,8,5,1
AAP15CE004,8,5,1
AAP15CE007,8,5,1
AAP15CE008,8,5,1
AAP15CE009,8,5,1
AAP15CE011,8,5,1
AAP15CE012,8,5,1
AAP15CE013,8,5,1
AAP15CE014,8,5,1
AAP15CE016,8,5,1
AAP15CE017,8,5,1
AAP15CE018,8,5,1
AAP15CE019,8,5,1
AAP15CE020,8,5,1
AAP15CE022,8,5,1
AAP15CE023,8,5,1
AAP15CE024,8,5,1
AAP15CE025,8,5,1
AAP15CE026,8,5,1
AAP15CE027,8,5,1
AAP15CE028,8,5,1
AAP15CE029,8,5,1
AAP15CE031,8,5,1
AAP15CE032,8,5,1
AAP15CE035,8,5,1
AAP15CE036,8,5,1
AAP15CE037,8,5,1
AAP15CE038,8,5,1
AAP15CE041,8,5,1
AAP15CE044,8,5,1
AAP15CE045,8,5,1
AAP15CE046,8,5,1
AAP15CE047,8,5,1
AAP15CE048,8,5,1
AAP15CE049,8,5,1
AAP15CE050,8,5,1
AAP15CE051,8,5,1
AAP15CE052,8,5,1
AAP15CE053,8,5,1
